Pozo,Capa,X,Z0,Z1,ZM,Porosidad_n,Porosidad_x,Porosidad_m
1,A,10755,362.0,255.0,308.5,0.87,0.95,0.9099999999999999
1,B,10755,255.0,28.0,141.5,0.95,0.95,0.95
1,C,10755,28.0,-180.0,-76.0,0.89,0.96,0.925
1,D,10755,-180.0,-607.0,-393.5,0.56,0.86,0.71
1,E,10755,-607.0,-930.0,-768.5,0.03,0.07,0.05
2,A,6716,347.5,322.0,334.75,0.25,0.62,0.435
2,B,6716,322.0,-78.0,122.0,0.56,0.86,0.71
2,C,6716,-78.0,-457.0,-267.5,0.28,0.66,0.47000000000000003
2,D,6716,-457.0,-725.0,-591.0,0.08,0.3,0.19
3,A,4354,346.0,43.0,194.5,0.83,0.92,0.875
3,B,4354,43.0,-390.0,-173.5,0.9,0.95,0.925
3,C,4354,-390.0,-3125.0,-1757.5,0.03,0.07,0.05
4,A,816,355.0,146.0,250.5,0.56,0.86,0.71
4,B,816,146.0,-447.0,-150.5,0.87,0.95,0.9099999999999999
4,C,816,-447.0,-2256.0,-1351.5,0.28,0.66,0.47000000000000003
4,D,816,-2256.0,-3125.0,-2690.5,0.03,0.07,0.05
